,Dataset,row,col,T2,T3,C1_regr,L1,S3,Model,MAE,MSE,R2,complexity,Duration
671,612_fri_c1_1000_5,1000,5,0.005,0.004,0.3691077331077331,0.4996932205556785,0.0919979562173025,lasso,0.500303603507644,0.3540197007563934,0.2560716060651295,4.5,0.0332705366845224
672,612_fri_c1_1000_5,1000,5,0.005,0.004,0.3691077331077331,0.4996932205556785,0.0919979562173025,linear_regression,0.5005182172024312,0.3540861488298422,0.2559315487221498,5.0,0.0151032980750588
673,612_fri_c1_1000_5,1000,5,0.005,0.004,0.3691077331077331,0.4996932205556785,0.0919979562173025,poly_lasso,0.310524758133983,0.1343815649687998,0.7184691451969348,15.5,3.2384749510708977
674,612_fri_c1_1000_5,1000,5,0.005,0.004,0.3691077331077331,0.4996932205556785,0.0919979562173025,symbolic_regression,0.18012212204081,0.04962943543838,0.8873320792522865,26.5,286.0507623307845
675,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,decision_tree_regressor,0.3606829724565614,0.2287111749787609,0.6443039247949399,60.0,0.0784930411507101
676,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,ebm,0.1684619519011058,0.0461219243723171,0.9403084643891652,1075.5,11.71983084491655
677,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,glm,0.5903097784041043,0.4921395489388812,0.2795622766967964,0.0,7.141747037569682
678,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,igann,0.2301264954274871,0.0890938378882963,0.8588276826021686,0.0,44.20430379287869
679,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,knn,0.3244743478181427,0.1751183895448041,0.7672655737052075,0.0,0.0746207073623058
680,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,lasso,0.5766888007730903,0.4752544460213715,0.2746570442885656,3.5,0.072510424782248
681,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,linear_regression,0.5995950006220238,0.5003506203126424,0.3111005876911474,5.0,0.0248611300599341
682,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,poly_lasso,0.3457421140692239,0.1713289253390521,0.7705698071646856,12.0,1.140927840681637
683,613_fri_c3_250_5,250,5,0.02,0.012,0.4796509384150145,0.5690278408722078,0.2114261494412572,symbolic_regression,0.1907085918285553,0.0630450751964304,0.9163531586134194,35.5,284.9610518404082
684,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,decision_tree_regressor,0.4289582445616086,0.324825485444325,0.5690155556998948,90.0,0.0402356736800249
685,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,ebm,0.2199886908640536,0.0729005726482931,0.8846403640026468,2087.0,7.229230434286827
686,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,glm,0.5884308936185298,0.4984329572380327,0.2812526650067075,0.0,15.01332887247497
687,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,igann,0.3089482080225216,0.1646953139451413,0.7788192216224847,0.0,124.80134629969504
688,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,knn,0.5252324022508154,0.4057585659963132,0.4552435594372843,0.0,0.0284679403492048
689,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,lasso,0.5884195412959197,0.5021219137541514,0.2759300125301025,8.0,0.0984502633412679
690,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,linear_regression,0.6004295013824796,0.5069395830602115,0.2695226598577677,10.0,0.0161252886641259
691,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,poly_lasso,0.4364903481593151,0.2654722997406687,0.6958196074064056,46.0,17.973891940771363
692,615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403,symbolic_regression,0.2358056483174266,0.1105411131839571,0.8719927829165823,19.0,284.4688717430713
693,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,decision_tree_regressor,0.3456390880893882,0.2152889613746613,0.6433265098999358,280.0,0.0109899721893609
694,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,ebm,0.2971724267468187,0.1369472612809874,0.7569842062306347,19042.0,7.639893784242518
695,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,glm,0.5922361586157674,0.511266966926535,0.111452452558131,0.0,0.0052108717899696
696,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,igann,0.3164451421445383,0.1650792722084235,0.7028398763680213,0.0,0.490154553862179
697,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,knn,0.5788962818468383,0.4969927712038141,0.1066744601694904,0.0,0.0066251895006965
698,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,lasso,0.5658268069214578,0.4587184468542504,0.2014799667901137,8.5,0.0041424269769705
699,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,linear_regression,0.592135044557069,0.495651221719789,0.1143482057613325,50.0,0.0029758355196784
700,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,poly_lasso,0.4110932179995474,0.2371810353854897,0.5884683159057784,86.0,34.40228247876261
