,Dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration
39,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,knn,0.5707702638544736,0.569375,0.5672516129948451,0.569375,0.0,0.1825297860538258
40,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,logistic_regression,0.4974909674829385,0.4975,0.4971161975734384,0.4975,0.0,3.7626095519346356
41,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,naive_bayes,0.49937358665489,0.4993749999999999,0.4947660570920907,0.499375,156.0,0.0352859099706014
42,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,decision_tree,0.5176377301966306,0.5165016501650165,0.5097672690447539,0.5165016501650166,7.0,0.20660873955371334
43,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,ebm,0.5198298538089643,0.5198019801980198,0.5196005202368956,0.5198019801980198,59781.0,70.25479298245673
44,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,gosdt,0.5172891093067075,0.5165016501650165,0.5134455622257221,0.5165016501650166,3.0,77.99222739537556
45,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,igann,0.8673213333387909,0.8457095709570958,0.8434050189296104,0.8457095709570956,0.0,243.15048764733706
46,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,knn,0.5061529731063619,0.5066006600660066,0.5053280667498697,0.5066006600660066,0.0,1.2293448892294192
47,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,logistic_regression,0.9514994254464187,0.9513201320132012,0.9513152311147182,0.9513201320132012,0.0,102.88397437684677
48,Hill_Valley_with_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953,naive_bayes,0.4763343786587777,0.4917491749174917,0.4141424774392122,0.4917491749174917,400.0,0.03766569436765184
49,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,decision_tree,0.5114423739623919,0.5092675842856249,0.3788448896789498,0.3902640264026402,46.0,0.08273572547763001
50,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,ebm,0.5673990441567478,0.5026681830111102,0.3069121778871082,0.3366336633663366,60864.0,21.31738868180443
51,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,gosdt,0.559974724641785,0.5,0.2833838599060608,0.3308580858085808,2.0,23.035031853937635
52,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,igann,0.7675276752767528,0.844812675722816,0.7660112037166606,0.7912541254125413,0.0,117.82623926331016
53,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,knn,0.5089236111111111,0.5016632228803282,0.3330246961317492,0.3506600660066006,0.0,0.40898867681914686
54,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,logistic_regression,0.9912887755721482,0.9951058666733724,0.9931428288217417,0.9942244224422442,0.0,5.510816197769315
55,Hill_Valley_without_noise,1212,100,0.0825082508250825,0.0008250825082508,0.9982248932585752,0.3399339933993399,0.999929285432166,0.6364426572654877,0.8004576503022852,naive_bayes,0.497777049224789,0.4996703361834941,0.4545498887106238,0.6146864686468646,400.0,0.010806880745233274
56,agaricus_lepiota,8145,85,0.0104358502148557,0.0039287906691221,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0,decision_tree,0.967315346117674,0.9652772073525108,0.9657615860299068,0.9658644400785854,21.0,0.14036767856747495
57,agaricus_lepiota,8145,85,0.0104358502148557,0.0039287906691221,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0,ebm,1.0,1.0,1.0,1.0,350.0,46.820472280184426
58,agaricus_lepiota,8145,85,0.0104358502148557,0.0039287906691221,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0,gosdt,0.9868725123269768,0.9854443309499488,0.9859635512918818,0.9860019646365422,9.0,20.939798658969355
59,agaricus_lepiota,8145,85,0.0104358502148557,0.0039287906691221,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0,igann,1.0,1.0,1.0,1.0,0.0,300.0
60,agaricus_lepiota,8145,85,0.0104358502148557,0.0039287906691221,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0,knn,1.0,1.0,1.0,1.0,0.0,3.3917382838679293
