,Dataset,row,col,T2,T3,F1,N3,C1_clf,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration,E3,E5
317,hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.2387096774193548,0.7346451526501955,gosdt,0.8601190476190477,0.6320564516129032,0.6552139037433156,0.8441295546558705,3.0,11.9928018766291,0.2547530378344712,0.3478909390927592
318,hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.2387096774193548,0.7346451526501955,igann,0.3750845165652468,0.5,0.0667095667095666,0.1035762483130904,0.0,106.51549071891635,0.2547530378344712,0.3478909390927592
319,hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.2387096774193548,0.7346451526501955,knn,0.8231566820276498,0.7020833333333334,0.736370514415772,0.858974358974359,0.0,0.6585346436968037,0.2547530378344712,0.3478909390927592
320,hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.2387096774193548,0.7346451526501955,logistic_regression,0.75,0.6315188172043011,0.6523965255308539,0.8205128205128205,0.0,2.4489864508310952,0.2547530378344712,0.3478909390927592
321,hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.2387096774193548,0.7346451526501955,naive_bayes,0.7428451178451179,0.8161962365591398,0.763157894736842,0.8205128205128205,116.0,0.028071071587356868,0.2547530378344712,0.3478909390927592
322,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,decision_tree,0.7858370814457066,0.8449098343468233,0.7887804540495026,0.9595448798988622,25.0,0.11517319726008995,0.0673552429657418,0.0907174772480578
323,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,ebm,0.912149314051488,0.8647689941986441,0.8866495723780099,0.9804045512010112,1268.5,3.3795599049212885,0.0673552429657418,0.0907174772480578
324,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,gosdt,0.9759797724399496,0.5,0.4876943005181346,0.9519595448798988,1.0,31.76863939855613,0.0673552429657418,0.0907174772480578
325,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,igann,0.8808702547299416,0.7637607464877332,0.7938491667336904,0.9664981036662452,0.0,140.2487801430272,0.0673552429657418,0.0907174772480578
326,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,knn,0.7904066113624937,0.7195806626504886,0.7489359923537886,0.960152186784874,0.0,3.4087150541006355,0.0673552429657418,0.0907174772480578
327,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,logistic_regression,0.7631607206023548,0.6332958823784993,0.6688871838253895,0.9551201011378004,0.0,12.407837065995908,0.0673552429657418,0.0907174772480578
328,hypothyroid,3163,26,0.0082200442617767,0.0003161555485298,0.978118166594704,0.0411002213088839,0.2767157310295863,naive_bayes,0.6280630596468371,0.716013140420773,0.6265365939851856,0.9120813263134312,104.0,0.0072124799092610666,0.0673552429657418,0.0907174772480578
329,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,decision_tree,0.8618290750643691,0.8711919668121917,0.8658350658350659,0.875,23.0,0.018086381987029436,0.1726710115316133,0.2315047780296794
330,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,ebm,0.9283727990285366,0.8878231364702078,0.90300076571263,0.9147727272727272,6264.5,2.6009231151319017,0.1726710115316133,0.2315047780296794
331,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,gosdt,0.883833249839971,0.8618231566820276,0.8734350937112574,0.8863636363636364,7.0,12.533146159321655,0.1726710115316133,0.2315047780296794
332,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,igann,0.8701800630877972,0.8354461001293556,0.8420591994157652,0.8579545454545454,0.0,115.8845653627433,0.1726710115316133,0.2315047780296794
333,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,knn,0.8996703296703297,0.8439489601018676,0.8619244391971664,0.8806818181818181,0.0,0.28604648627486884,0.1726710115316133,0.2315047780296794
334,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,logistic_regression,0.8739115111893001,0.8069916474654377,0.8246263268037932,0.8513584117032393,0.0,0.37257134680654486,0.1726710115316133,0.2315047780296794
335,ionosphere,351,33,0.094017094017094,0.0569800569800569,0.7304887518480649,0.1168091168091168,0.9418285354475155,naive_bayes,0.8769830323365159,0.8607070852534562,0.8668661838892102,0.8799634273772206,132.0,0.00529344409119849,0.1726710115316133,0.2315047780296794
