dataset,row,col,T2,T3,C1_regr,L1,S3
589_fri_c2_1000_25,1000,25,0.025,0.022,0.40695819495819496,0.4461392066952483,0.48530332872314214
590_fri_c0_1000_50,1000,50,0.05,0.047,0.5660774420774422,0.27659133619939896,0.6851609281025803
591_fri_c1_100_10,100,10,0.1,0.09,0.4978217821782178,0.4301403206634732,0.309617284351565
592_fri_c4_1000_25,1000,25,0.025,0.021,0.43151533151533156,0.5661750593575854,0.7341476483059709
593_fri_c1_1000_10,1000,10,0.01,0.009,0.42818511218511224,0.4667882629698005,0.3017808912638274
594_fri_c2_100_5,100,5,0.05,0.04,0.35651965196519647,0.5967428001782451,0.47476007066228826
595_fri_c0_1000_10,1000,10,0.01,0.01,0.5591127551127552,0.2869351311789965,0.2773257817953895
596_fri_c2_250_5,250,5,0.02,0.016,0.3409755676090817,0.445097245430632,0.14978814801365842
597_fri_c2_500_5,500,5,0.01,0.008,0.3264640898563594,0.47931363146600087,0.10687596217402265
598_fri_c0_1000_25,1000,25,0.025,0.024,0.5626003666003666,0.2960600871721351,0.5384331200168173
599_fri_c2_1000_5,1000,5,0.005,0.004,0.38607979407979415,0.452139437439097,0.0772346448012301
601_fri_c1_250_5,250,5,0.02,0.016,0.38212797004752075,0.46038945312117924,0.17216185380790597
602_fri_c3_250_10,250,10,0.04,0.028,0.4073064849037584,0.5301275888352162,0.5086241786041424
603_fri_c0_250_50,250,50,0.2,0.176,0.568406278500456,0.2569526729660554,0.6326446775191231
604_fri_c4_500_10,500,10,0.02,0.014,0.47452452209808843,0.5415965002931779,0.39995618099221236
605_fri_c2_250_25,250,25,0.1,0.088,0.41445898334373343,0.43815325728137655,0.600090678238151
606_fri_c2_1000_10,1000,10,0.01,0.008,0.4032969792969793,0.4656787070449341,0.28726980909054967
607_fri_c4_1000_50,1000,50,0.05,0.044,0.41457249057249057,0.5475131329485753,0.9281535338600597
608_fri_c3_1000_10,1000,10,0.01,0.007,0.44450457650457653,0.5440226315491246,0.36947166777361734
609_fri_c0_1000_5,1000,5,0.005,0.005,0.5691442131442132,0.2851557683207269,0.106893642772042
611_fri_c3_100_5,100,5,0.05,0.03,0.5252205220522053,0.5353689721687332,0.2282942347986219
612_fri_c1_1000_5,1000,5,0.005,0.004,0.36910773310773315,0.4996932205556785,0.09199795621730254
613_fri_c3_250_5,250,5,0.02,0.012,0.47965093841501455,0.5690278408722078,0.2114261494412572
615_fri_c4_250_10,250,10,0.04,0.028,0.5105895454327268,0.5853064012474727,0.5998491077710403
616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487
617_fri_c3_500_5,500,5,0.01,0.006,0.38780574322297284,0.5912328043866277,0.13610182300822707
618_fri_c3_1000_50,1000,50,0.05,0.044,0.43611548811548817,0.5048182053040149,0.6825615791011228
620_fri_c1_1000_25,1000,25,0.025,0.023,0.3866561306561307,0.49629103565423077,0.669762781075332
621_fri_c0_100_10,100,10,0.1,0.1,0.49362136213621355,0.27038962540656863,0.33525236786887275
622_fri_c2_1000_50,1000,50,0.05,0.045,0.36518213318213316,0.45841224201987624,0.7367085154791286
623_fri_c4_1000_10,1000,10,0.01,0.007,0.44110385710385713,0.5530269841189581,0.38624447209062424
624_fri_c0_100_5,100,5,0.05,0.05,0.5209360936093609,0.277368210228669,0.1517626408683025
626_fri_c2_500_50,500,50,0.1,0.088,0.3968691394765579,0.42220569843207617,0.5900174667542517
627_fri_c2_500_10,500,10,0.02,0.016,0.4150710042840171,0.5145939928247508,0.49462258529324915
628_fri_c3_1000_5,1000,5,0.005,0.003,0.4277502317502318,0.557499853763642,0.09300918698149428
631_fri_c1_500_5,500,5,0.01,0.008,0.3789122676490706,0.48601338934080024,0.15199604202950054
633_fri_c0_500_25,500,25,0.05,0.048,0.5794215496861987,0.2987025010573763,0.5797635947759329
634_fri_c2_100_10,100,10,0.1,0.08,0.5028262826282628,0.4354791470887654,0.7192796589702174
635_fri_c0_250_10,250,10,0.04,0.04,0.5603452215235443,0.3596831111113784,0.4615049177777871
637_fri_c1_500_50,500,50,0.1,0.09,0.3375878463513854,0.5193664698722875,0.9342212476269097
641_fri_c1_500_10,500,10,0.02,0.018,0.42697850791403164,0.47976584997750926,0.39892143373844335
643_fri_c2_500_25,500,25,0.05,0.044,0.2934841179364717,0.5589830261511882,0.9096278312038836
644_fri_c4_250_25,250,25,0.1,0.08,0.42160840973455566,0.5240842879534211,0.718029372128798
645_fri_c3_500_50,500,50,0.1,0.088,0.49767155868623464,0.5099893161132611,0.8657056829378313
646_fri_c3_500_10,500,10,0.02,0.014,0.442688490753963,0.5289144622180225,0.4023150309497323
647_fri_c1_250_10,250,10,0.04,0.036,0.4718717419478711,0.46567000360858013,0.39970909327131204
648_fri_c1_250_50,250,50,0.2,0.172,0.4166163298612778,0.37809538606363935,0.5637362827921423
649_fri_c0_500_5,500,5,0.01,0.01,0.6047655550622202,0.2805958113054544,0.15013295230050347
