dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5
irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,0.08081003339679506,0.10475736350868949
kr_vs_kp,3196,37,0.011576971214017523,0.007509386733416771,0.7954392181726605,0.1548811013767209,0.9985755386554581,0.2166442612256211,0.3007096247557835
labor,57,57,1.0,0.45614035087719296,0.5576086956521739,0.08771929824561403,0.9348490242345945,0.22554634520636585,0.4450533497599283
lupus,87,3,0.034482758620689655,0.022988505747126436,0.6333337371769041,0.3793103448275862,0.972279462096882,0.5699767245855452,0.6584334888993931
magic,19020,10,0.0005257623554153522,0.0003680336487907466,0.7874979989242568,0.17907465825446897,0.935515244546736,0.26477047076523763,0.3415195428244969
mofn_3_7_10,1324,10,0.0075528700906344415,0.0075528700906344415,0.9152604374651367,0.08836858006042296,0.7611592355158557,0.25523630432934447,0.324109361113051
molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,0.3898425710608681,0.5181055241287444
monk1,556,11,0.019784172661870502,0.017985611510791366,0.6730310262529844,0.12589928057553956,1.0,0.42611569278068034,0.5355135505282033
monk2,601,11,0.018302828618968387,0.016638935108153077,0.9964994310157073,0.26955074875207985,0.9274373177990278,0.5072782311249425,0.4976519678339392
monk3,554,11,0.019855595667870037,0.018050541516245487,0.8952374134248178,0.1624548736462094,0.9988621511417832,0.5453417498265831,0.7452909159745671
mushroom,8124,85,0.010462826193993106,0.003938946331856229,0.38290079326006865,0.0,0.9990678968724604,0.0,0.0
mux6,128,6,0.046875,0.046875,0.9375,0.0,1.0,0.5308897790627517,0.676451841062585
parity5,32,5,0.15625,0.15625,1.0,1.0,1.0,0.0,0.0
parity5+5,1124,10,0.008896797153024912,0.008896797153024912,0.9998464136008433,0.6254448398576512,0.9999429024267611,0.7164995075318391,0.8755582233848146
phoneme,5404,5,0.000925240562546262,0.000925240562546262,0.8904690258070762,0.09307920059215397,0.8731822577241407,0.19915668347739854,0.28806376454826244
postoperative_patient_data,88,16,0.18181818181818182,0.11363636363636363,0.9693486590038314,0.3522727272727273,0.8453509366224364,0.5113238166894316,0.7632593609876989
prnn_crabs,200,7,0.035,0.01,0.8081862020986639,0.035,1.0,0.12396993759735608,0.23463848853128408
prnn_synth,250,2,0.008,0.008,0.5067566662130911,0.136,1.0,0.23508373351794934,0.3210483483605931
